id,question,fullQuestion,principle,topic,situation,task,action,result
82,Unsatisfied with the way things were and worked to change it.,"Tell me about a time when you were unsatisfied with the way things were in your team or organization. What did you do to change it, if anything? What was the impact? Would you do anything differently in the future?",Insist on the Highest Standards,,,,,
83,Improved the quality of a product/service already getting good feedback.,Tell me about a time when you worked to improve the quality of a product/service/solution that was already getting good customer feedback. Why did you think it needed improvement? How did customers react?,Insist on the Highest Standards,,,,,
84,"Made a decision between standards and delivery, considering tradeoffs.","Tell me about a time when you had to make a decision between standards and delivery. What tradeoffs did you have to make? What was the outcome? Knowing what you know now, would you have done anything differently?",Insist on the Highest Standards,,,,,
85,Had a goal you wish you had done better on and how to improve.,Give me an example of a goal you’ve had where you wish you had done better. What was the goal? How could you have improved on it?,Insist on the Highest Standards,,,,,
86,Led a significant continuous improvement project and its outcome.,Describe the most significant continuous improvement project that you led. What was the catalyst to this change and how did you go about it? What was the outcome?,Insist on the Highest Standards,,,,,
87,Addressed an accessibility issue for a product or service. (DEI),Give me an example of a time when you saw an accessibility issue for a product or service that wouldn’t meet the needs of all customers. (DEI),Insist on the Highest Standards,,,,,
88,Used feedback about your team to drive a change. (Manager),Tell me about a time when you used feedback about your team to drive a change. How did you gather or receive feedback on your team's performance? What was the outcome? (Manager),Insist on the Highest Standards,,,,,
89,Solved a complex problem with a simple solution.,Give me an example of a complex problem you solved with a simple solution. What made the problem complex? How do you know your solution addressed the problem?,Invent & Simplify,,,,,
90,Implemented the most innovative thing you’ve done and why it was innovative.,Describe the most innovative thing you’ve done and why you thought it was innovative. Ask for one or two more examples to see if it's a pattern of innovative thinking. What was the problem it was solving? What was innovative about it?,Invent & Simplify,,,,,
91,Made something simpler for customers and its impact.,Tell me about a time when you were able to make something simpler for customers. What drove you to implement this change? What was the impact?,Invent & Simplify,,,,,
92,Influenced and drove new thinking and innovation from your team.,Describe a time when you influenced and drove new thinking and innovation out of your team. Give an example of how your approach led to a specific innovation.,Invent & Simplify,,,,,
93,Addressed a challenging problem with an alternative approach.,Tell me about a time when you had a challenging problem or situation that the usual approach wouldn't address. How did you select an alternative approach? What alternative approach(es) did you consider? What was the end result? What was the impact?,Invent & Simplify,,,,,
94,Had a novel idea or decision that significantly impacted the business.,Tell me about a novel idea you had or decision you made that had a big impact on your business. What was novel about it?,Invent & Simplify,,,,,
95,Identified a simple change to make the culture more inclusive. (DEI),"Tell me about a time when you identified a simple change on your team to make the culture more inclusive. What problem were you trying to solve, what was the outcome? (DEI)",Invent & Simplify,,,,,
96,Enabled your team or team member to implement a significant change. (Manager),Tell me about a time when you enabled your team/a team member to implement a significant change or improvement. What problem were you trying to solve? How did you measure success? What was the end result/impact? (Manager),Invent & Simplify,,,,,
97,Needed deeper subject matter expertise and how you addressed it.,Tell me about a time when you realized you needed a deeper level of subject matter expertise to do your job well. What did you do about it? What was the outcome? Is there anything you would have done differently?,Learn And Be Curious,,,,,
98,Took on work outside your comfort area and built expertise to succeed.,Describe a time when you took on work outside of your comfort area. How did you identify what you needed to learn to be successful? How did you go about building expertise to meet your goal? Did you meet your goal?,Learn And Be Curious,,,,,
99,Didn't know what to do next and how you learned what you didn't know.,Tell me about a time when you didn’t know what to do next or how to solve a challenging problem. How do you learn what you don't know? What were the options you considered? How did you decide the best path forward? What was the outcome?,Learn And Be Curious,,,,,
100,Worked on improving yourself to enhance work effectiveness.,We all have things about ourselves we'd like to improve on at work. Give me an example of something that you've worked on to improve your overall work effectiveness. What resources did you identify to help you develop? What was the impact?,Learn And Be Curious,,,,,
101,Explored a new or unexpected area and its impact.,Give me an example of a time when you explored a new or unexpected area of an existing space. Why hadn't this been explored already? Why did you move forward? What were the results or what was the impact?,Learn And Be Curious,,,,,
102,Team member challenged you to think differently about a problem.,Describe a time when someone on your team challenged you to think differently about a problem. What was the situation? How did you respond? What was the outcome?,Learn And Be Curious,,,,,
103,Used external trends to improve company products or services.,Tell me about a time when you used external trends to improve your own company's products or services. How did you keep up to date with external trends? How did you decide to apply them to your own company? What was the result?,Learn And Be Curious,,,,,
104,Intentionally learned different cultures or identities for better outcomes. (DEI),Give me an example of a time when you were intentional about learning different cultures or identities. How has this led to a better customer or workplace experience? (DEI),Learn And Be Curious,,,,,
105,Took on something significant outside your area of responsibility.,Tell me about a time when you took on something significant outside your area of responsibility. Why was it important? What was the outcome?,Ownership,,,,,
106,Didn't think you'd meet a commitment and communicated the risk to stakeholders.,Describe a time when you didn't think you were going to meet a commitment you promised. How did you identify the risk and communicate it to stakeholders? Is there anything you would do differently?,Ownership,,,,,
107,Undertook an initiative benefiting the company or customers outside defined responsibilities.,"Give me an example of an initiative you undertook because you saw that it could benefit the whole company or your customers, but wasn’t within any group’s individual responsibility so nothing was being done.",Ownership,,,,,
108,Sacrificed short-term gain for long-term business value.,"Tell me about a time when you made a hard decision to sacrifice short term gain for something that would create long term value for the business. What was the outcome? Knowing what you know now, would you have done anything differently?",Ownership,,,,,
109,Transitioned a project to a new owner and ensured a smooth transition.,Describe a time when you had to transition a project you owned to a new owner. What steps did you take to make sure the transition went smoothly? Tell me about a time that you chose to get involved in a project that you had already transitioned to somebody else. What was the situation? Why was it important to get involved?,Ownership,,,,,
110,Saw a peer struggling and decided to step in and help.,Tell me about a time when you saw a peer struggling and decided to step in and help. What was the situation? Why did you decide to step in? What actions did you take?,Ownership,,,,,
111,Saw an opportunity to do something bigger or better than the initial focus.,Tell me about a time when you were working on an initiative or goal and saw an opportunity to do something much bigger or better than the initial focus. Did you take that opportunity? Why or why not? What was the outcome?,Think Big,,,,,
112,Changed the direction of a function/department and helped them embrace a new way of thinking.,Give me an example of how you have changed the direction or view of a specific function/department and helped them embrace a new way of thinking. Why was a change needed? What was the outcome?,Think Big,,,,,
113,Proposed a novel approach to a problem and its outcome.,Give me an example of a time you proposed a novel approach to a problem. What was the problem and why did it require a novel approach? Was your approach successful?,Think Big,,,,,
114,Drove adoption for your vision/ideas and tracked its success.,Tell me about a time when you drove adoption for your vision/ideas. How did you know your vision/idea was adopted by others? How did you drive adoption for your vision/ideas? How did you track adoption? Would you do anything differently?,Think Big,,,,,
115,Had an idea or vision adopted by global stakeholders and drove adoption.,Give me an example of an idea or vision you had which was adopted by global stakeholders. How did you drive adoption for your vision/ideas? How did you track adoption? Would you do anything differently?,Think Big,,,,,
116,Thought differently to improve a working process and evaluated the change.,"Tell me about a time when you thought differently to improve a process that was working. What assumptions did you have to question? How did you evaluate if the change improved the process? Knowing what you know now, would you do anything differently?",Think Big,,,,,
117,Communicated a vision to ensure accessibility for all. (DEI),How have you communicated a vision to ensure that your product/service/process provided accessibility for all? Who did you seek input from and why? (DEI),Think Big,,,,,
118,Encouraged a team member or organization to take a big risk. (Manager),Tell me about a time when you encouraged a team member or organization to take a big risk. How did you balance the risk against existing business goals? What was the outcome? What did you learn from this situation? (Manager),Think Big,,,,,
119,"Established a vision for a team, product, or initiative and drove execution. (Manager)","Tell me about a time when you established a vision for a (team, product, initiative) when there wasn't one. How did you gain buy-in and drive execution? What was the outcome? Would you have done anything differently? (Manager)",Think Big,,,,,
120,Helped build a more inclusive working environment and its impact.,Tell me a time when you helped build a more inclusive working environment. What problems were you trying to address? What did you do? What were the employees’ reactions? How did the changes help the employees?,Best Employer,,,,,
121,Advocated for someone with less influence or seniority and the outcome.,Tell me about a time when you advocated for someone who had less influence or seniority than you. How or why did you advocate for them and what was the outcome?,Best Employer,,,,,
122,Implemented a change to improve the work experience of coworkers.,Describe a time when you implemented a change at work aimed at improving the work experience of yourself or coworkers. What was the goal? Why did you feel this change was necessary? What was the outcome?,Best Employer,,,,,
123,"Promoted diversity, equity, or inclusion in the workplace.","Describe a time when you promoted diversity, equity, or inclusion in the workplace. What forms of diversity did you consider (for example, gender, ethnicity, personal interests)? What approach did you use?",Best Employer,,,,,
124,Showed compassion during a stressful or high-pressure situation.,Tell me about a time when you showed compassion toward someone during a stressful or high-pressure situation. How did you recognize that it was important to demonstrate sensitivity? What did you do to demonstrate compassion? What were the outcomes for that person and the situation?,Best Employer,,,,,
125,Supported or empowered someone to achieve a goal and its impact.,Tell me about a time when you supported or empowered someone else on your team to achieve a professional or personal goal. What was your role in the situation? How did it impact you?,Best Employer,,,,,
126,Organized or participated in an initiative to foster an enjoyable work environment.,Give me an example of a time when you organized or participated in an initiative to foster an enjoyable work environment. What was the activity or initiative? What did you do? How did other employees react?,Best Employer,,,,,
127,Noticed someone being excluded or treated unfairly and took action.,Tell me about a time when you noticed someone was being excluded or treated unfairly. Were you able to do anything to help?,Best Employer,,,,,
128,Created an environment where direct reports felt comfortable speaking up. (Manager),"Tell me about a time you created an environment where your direct reports felt comfortable speaking up with questions, concerns, ideas, or mistakes. How did you do this and how do you know that it worked? (Manager)",Best Employer,,,,,
129,Improved your team’s work environment and its impact. (Manager),Give me an example of when you worked to improve your team’s work environment? Why did you think the improvement was needed? How did you decide what steps to take? What impact did this improvement have on your team? (Manager),Best Employer,,,,,
130,"Influenced a change fostering diversity, equity, and inclusion. (Manager)","Tell me about a time you influenced a change that fostered diversity, equity, and inclusion on your team or in your org? What indicators did you use to identify the problem? What measures did you employ to course correct the issue? (Manager)",Best Employer,,,,,
131,Worked on a project with impact beyond your immediate client/customer/organization.,"Tell me about a time you worked on a project that had impact beyond your immediate client/customer/organization. How did you approach the potential downstream impact of this work? When in the course of the project did you start thinking about this impact, and what efforts did you make to manage this impact? What were the risks?",Broad Responsibility,,,,,
132,Changed a decision due to unintended consequences for customers.,Tell me about a time when you decided to change a decision because of unintended consequences for your customers. What was the impact to your customers? What tradeoffs did you have to make? How did your new solution better serve your customers?,Broad Responsibility,,,,,
133,Changed course due to negative impact on a third-party.,Tell me about a time when you changed course because of the negative impact you were going to cause to a third-party.,Broad Responsibility,,,,,
134,Considered social responsibility as a critical aspect of decision making.,"Tell me a time when you thought carefully about social responsibility as a critical aspect of your decision making. Why was social responsibility important? How did it (i.e., considering social responsibility) have impact on the decision-making process?",Broad Responsibility,,,,,
135,"Considered everyone affected by your work, not just direct customers.","Tell me about a time when you considered everyone who was affected by your work, not just your direct customers or people within your organization.",Broad Responsibility,,,,,
136,Balanced growth with environmental or societal impacts.,Describe a time when you had to balance growth or perceived progress with environmental or societal impacts. What were the environmental or societal impacts? What steps did you take to minimize any negative impacts?,Broad Responsibility,,,,,
137,"Realized unintended consequences of a project, either during or after completion.","Tell me about a time where you realized a project you were working on would have unintended, and perhaps undesired, consequences in the future. Can you tell me about a time when you didn’t realize the unintended consequences until the project was complete?",Broad Responsibility,,,,,
138,Left something better than you found it and its impact.,Tell me about a time you left something better than how you found it. What was it and how did you change or impact it? How did your actions influence things for the better?,Broad Responsibility,,,,,
139,Influenced an organizational change to promote social awareness and responsibility. (Manager),Tell me about a time you influenced an organizational change to bring new social awareness and responsibility among the teams. What activities or exercises did you employ to promote this awareness? What was the outcome from these efforts? (Manager),Broad Responsibility,,,,,
